output\frame962.jpg,"tensor([[-19.3677, -22.5521, -17.4642, -22.8706, -13.3058, -17.0354, -15.4581,
         -28.0329]])",tensor([-0.1011]),tensor([0.3168]),fear
output\frame726.jpg,"tensor([[ -8.6596, -16.8233, -11.4103,  -8.2920, -10.6481, -12.8627,  -9.8257,
         -16.0992]])",tensor([-0.1288]),tensor([0.3530]),surprise
output\frame260.jpg,"tensor([[ -9.6205, -17.9317, -10.3340, -11.2806, -10.8682, -16.7001, -13.7986,
         -18.7482]])",tensor([-0.0920]),tensor([0.2133]),neutral
output\frame401.jpg,"tensor([[-12.5694, -22.2174,  -9.9583, -11.9205, -11.6544,  -9.2404, -11.4787,
         -18.5235]])",tensor([-0.4189]),tensor([0.3181]),disgust
output\frame145.jpg,"tensor([[-10.2327, -18.6672, -10.4872, -17.2001, -16.0780, -15.4071, -14.3034,
         -22.3659]])",tensor([-0.2426]),tensor([-0.0044]),neutral
output\frame615.jpg,"tensor([[-18.9983, -22.0922, -17.5788, -23.2027, -12.2327, -16.9303, -15.7835,
         -25.1114]])",tensor([-0.0668]),tensor([0.3056]),fear
output\frame602.jpg,"tensor([[-10.5636, -19.7290, -11.5777, -10.2871,  -9.2541, -17.2023, -10.8717,
         -17.8398]])",tensor([-0.1034]),tensor([0.3612]),fear
output\frame208.jpg,"tensor([[ -8.6487, -18.2435, -11.3215, -10.1725, -11.1024, -12.6159, -11.8202,
         -17.3711]])",tensor([-0.1858]),tensor([0.2886]),neutral
output\frame810.jpg,"tensor([[ -9.6067, -24.4976, -15.5487, -14.3870, -18.1948, -17.5597, -15.3648,
         -25.2233]])",tensor([-0.1788]),tensor([0.1220]),neutral
output\frame958.jpg,"tensor([[-10.6236, -15.7974, -12.0566, -19.9745, -12.1611, -11.0156,  -9.0978,
         -19.1033]])",tensor([-0.2471]),tensor([0.1993]),anger
